CategoryID	CategoryCode	ParentCategoryCode	CategoryName	CategoryOKPD2	AttributeID	AttributeName	AttributeType								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	306334	Комплектация 	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	234108	Дополнительная информация	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	238130	Стандарт	Строковый								
53681	1146889	1146880	Опоры подвижные (приварные, хомутовые, бескорпусные)	25.11.23.119	265428	Технические условия	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	252750	Вид	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	252749	Тип	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	252748	Обозначение	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	252747	Диаметр	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	252746	Материал	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	252745	Описание	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	252744	Стандарт	Строковый								
53679	114688B	1146880	Опоры неподвижные	25.11.23.119	281584	ТУ	Строковый								
34492	1191462	1191460	Пробки стопорные	28.99.39.190	5458	Назначение	Строковый								
34492	1191462	1191460	Пробки стопорные	28.99.39.190	5459	Обозначение	Строковый								
34492	1191462	1191460	Пробки стопорные	28.99.39.190	5460	Применение	Строковый								
58808	1191633	1191630	Широкополосные поглотители	26.30.40.110	286061	Тип	Строковый								
58808	1191633	1191630	Широкополосные поглотители	26.30.40.110	286060	Обозначение	Строковый								
58808	1191633	1191630	Широкополосные поглотители	26.30.40.110	286059	Назначение	Строковый								
58808	1191633	1191630	Широкополосные поглотители	26.30.40.110	286058	Стандарт	Строковый								
58808	1191633	1191630	Широкополосные поглотители	26.30.40.110	286057	Производитель	Строковый								
58808	1191633	1191630	Широкополосные поглотители	26.30.40.110	286056	Страна производителя	Строковый								
58808	1191633	1191630	Широкополосные поглотители	26.30.40.110	286055	ОГРН	Строковый								
5705	1147800	1147000	Каркасные металлические конструкции и их части	25.11.23.119	306539	Страна производителя	Строковый								
5705	1147800	1147000	Каркасные металлические конструкции и их части	25.11.23.119	306540	ОГРН	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	276595	Тип	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	304193	Наименование	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	229056	Материал	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	229057	Размер	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	229058	Толщина	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	276594	Цвет	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	229059	Описание	Строковый								
5703	1147012	1147000	Отливы	25.11.23.119	229060	Стандарт	Строковый								
5706	1147013	1147000	Узлы дренажные	25.11.23.119	234737	Материал	Строковый								
5706	1147013	1147000	Узлы дренажные	25.11.23.119	234736	Описание	Строковый								
5695	1147014	1147000	Стволы свай винтовых СВС	25.11.23.119	271173	Тип	Строковый								
5695	1147014	1147000	Стволы свай винтовых СВС	25.11.23.119	271171	Обозначение	Строковый								
5695	1147014	1147000	Стволы свай винтовых СВС	25.11.23.119	271170	Размер	Строковый								
5695	1147014	1147000	Стволы свай винтовых СВС	25.11.23.119	271169	Стандарт	Строковый								
5695	1147014	1147000	Стволы свай винтовых СВС	25.11.23.119	271168	ТУ	Строковый								
5694	1147015	1147000	Лопасти свай винтовых СВС	25.11.23.119	271178	Тип	Строковый								
5694	1147015	1147000	Лопасти свай винтовых СВС	25.11.23.119	271177	Обозначение	Строковый								
5694	1147015	1147000	Лопасти свай винтовых СВС	25.11.23.119	271176	Размер	Строковый								
5694	1147015	1147000	Лопасти свай винтовых СВС	25.11.23.119	271175	Стандарт	Строковый								
5694	1147015	1147000	Лопасти свай винтовых СВС	25.11.23.119	271174	ТУ	Строковый								
57782	1147016	1147000	Вышки	25.11.23.119	275196	Тип	Строковый								
57782	1147016	1147000	Вышки	25.11.23.119	275195	Обозначение	Строковый								
57782	1147016	1147000	Вышки	25.11.23.119	275194	Назначение	Строковый								
57782	1147016	1147000	Вышки	25.11.23.119	275193	Материал	Строковый								
57782	1147016	1147000	Вышки	25.11.23.119	275192	Размеры	Строковый								
57782	1147016	1147000	Вышки	25.11.23.119	275197	Дополнительная информация	Строковый								
57782	1147016	1147000	Вышки	25.11.23.119	275191	Стандарт	Строковый								
